name,createdAt,tick,leftPoint,rightPoint,angleOfVector,lengthOfVector,differenceX,differenceY,meanX,meanY
eye,1580312684357,0,"{""x"":151.30187132662766,""y"":111.5337919297487}","{""x"":197.15194779086184,""y"":113.55889622606225}",2.5289939659350544,45.89477703603176,45.85007646423418,2.0251042963135433,174.22690955874475,112.54634407790547
eye,1580312684459,1,"{""x"":152.05984119703933,""y"":111.32479875660792}","{""x"":197.24370344067188,""y"":113.59404287706141}",2.875118567382442,45.24080985271788,45.18386224363255,2.269244120453493,174.6517723188556,112.45942081683467
eye,1580312684567,2,"{""x"":152.26725872617095,""y"":110.67945933695717}","{""x"":197.52681436383054,""y"":112.88912638429363}",2.795081530683948,45.313463837787644,45.25955563765959,2.209667047336467,174.89703654500073,111.7842928606254
eye,1580312684660,3,"{""x"":153.02585855082165,""y"":110.7889829318672}","{""x"":197.77302382466348,""y"":112.539173184941}",2.239860898339426,44.78137967913082,44.74716527384183,1.7501902530738107,175.39944118774258,111.6640780584041
eye,1580312684757,4,"{""x"":153.2562063171885,""y"":110.5127788707835}","{""x"":197.87408464598727,""y"":112.15043122832074}",2.1020378015000794,44.647922368321225,44.61787832879878,1.6376523575372346,175.56514548158788,111.33160504955212
eye,1580312684841,5,"{""x"":152.94288950079627,""y"":110.3309438207383}","{""x"":197.94073700763352,""y"":112.19034696014415}",2.36623267837286,45.03624829271874,44.997847506837246,1.859403139405856,175.44181325421488,111.26064539044123
eye,1580312684942,6,"{""x"":152.75118151616627,""y"":110.24092226566123}","{""x"":198.31448914884461,""y"":112.19288773706475}",2.453093150083571,45.60510028090758,45.563307632678345,1.9519654714035255,175.53283533250544,111.21690500136299
eye,1580312685042,7,"{""x"":152.4234233143068,""y"":110.15952078595711}","{""x"":197.69244306802042,""y"":111.86915790362599}",2.162813800149405,45.30129146653796,45.26901975371362,1.7096371176688763,175.0579331911636,111.01433934479155
eye,1580312685134,8,"{""x"":152.50551440807763,""y"":110.2099662180824}","{""x"":197.7314531541366,""y"":111.92634410108232}",2.1733995770479724,45.25849631284196,45.22593874605897,1.7163778829999217,175.1184837811071,111.06815515958236
eye,1580312685226,9,"{""x"":152.34105267227582,""y"":109.9775221906713}","{""x"":197.4783471988995,""y"":111.60697921588795}",2.067480710475496,45.16669666225548,45.13729452662369,1.6294570252166523,174.90969993558767,110.79225070327962
eye,1580312685312,10,"{""x"":152.0942474727461,""y"":110.52210326152314}","{""x"":196.94639513011504,""y"":112.23553980953261}",2.1877428919480604,44.88486397754236,44.85214765736893,1.7134365480094687,174.52032130143056,111.37882153552788
eye,1580312685401,11,"{""x"":152.03877801215967,""y"":109.14464128194294}","{""x"":196.86167793281,""y"":111.01924574764263}",2.394855474928065,44.86208309028302,44.82289992065034,1.87460446569969,174.45022797248484,110.08194351479278
eye,1580312685492,12,"{""x"":151.86318287863577,""y"":110.037149276507}","{""x"":197.06840787514028,""y"":111.81365598486155}",2.250491751204188,45.24011873403324,45.20522499650451,1.7765067083545603,174.46579537688802,110.92540263068427
eye,1580312685577,13,"{""x"":152.0286657421101,""y"":108.84762973955193}","{""x"":197.32230018119077,""y"":110.84949868652163}",2.530687712139384,45.33785173540886,45.29363443908068,2.0018689469696938,174.67548296165043,109.84856421303678
eye,1580312685666,14,"{""x"":152.19146086554147,""y"":110.17878115849254}","{""x"":197.2987277352138,""y"":111.68500343769875}",1.9125105859767089,45.132407757687986,45.107266869672316,1.506222279206213,174.74509430037762,110.93189229809565
