name,createdAt,tick,poseData
rawPoseData,1580312684357,0,"{""score"":0.35073225622695375,""keypoints"":[{""score"":0.995821475982666,""part"":""nose"",""position"":{""x"":174.88764534930448,""y"":139.26936576911177}},{""score"":0.9987598657608032,""part"":""leftEye"",""position"":{""x"":151.30187132662766,""y"":111.5337919297487}},{""score"":0.999627947807312,""part"":""rightEye"",""position"":{""x"":197.15194779086184,""y"":113.55889622606225}},{""score"":0.8969920873641968,""part"":""leftEar"",""position"":{""x"":119.77549548672641,""y"":117.48679512544626}},{""score"":0.5562443733215332,""part"":""rightEar"",""position"":{""x"":218.4850645433194,""y"":126.33489466703963}},{""score"":0.33229950070381165,""part"":""leftShoulder"",""position"":{""x"":85.43805708305064,""y"":219.33897245956103}},{""score"":0.8978563547134399,""part"":""rightShoulder"",""position"":{""x"":260.90285753991554,""y"":221.88705549608}},{""score"":0.13004803657531738,""part"":""leftElbow"",""position"":{""x"":73.41946494190205,""y"":301.67368900740536}},{""score"":0.11213188618421555,""part"":""rightElbow"",""position"":{""x"":314.6663365279178,""y"":295.3099280677139}},{""score"":0.018191803246736526,""part"":""leftWrist"",""position"":{""x"":84.81834760830031,""y"":295.8110112153458}},{""score"":0.014798820950090885,""part"":""rightWrist"",""position"":{""x"":295.22039754312897,""y"":287.95360789879135}},{""score"":0.0021647915709763765,""part"":""leftHip"",""position"":{""x"":113.11503657619042,""y"":303.9179054735676}},{""score"":0.002508956240490079,""part"":""rightHip"",""position"":{""x"":230.72785317579434,""y"":297.79868360796735}},{""score"":0.0014226200291886926,""part"":""leftKnee"",""position"":{""x"":108.82516499018459,""y"":291.4322481438385}},{""score"":0.0019704129081219435,""part"":""rightKnee"",""position"":{""x"":233.62224223281225,""y"":287.55078112548466}},{""score"":0.0010678395628929138,""part"":""leftAnkle"",""position"":{""x"":115.14404183113257,""y"":291.5644076047382}},{""score"":0.0005415829364210367,""part"":""rightAnkle"",""position"":{""x"":232.9701799002175,""y"":290.9785887961571}}]}"
rawPoseData,1580312684459,1,"{""score"":0.3561483501312871,""keypoints"":[{""score"":0.9953859448432922,""part"":""nose"",""position"":{""x"":175.96165520501066,""y"":138.53747988737655}},{""score"":0.9986741542816162,""part"":""leftEye"",""position"":{""x"":152.05984119703933,""y"":111.32479875660792}},{""score"":0.9996275901794434,""part"":""rightEye"",""position"":{""x"":197.24370344067188,""y"":113.59404287706141}},{""score"":0.9256516695022583,""part"":""leftEar"",""position"":{""x"":119.40792301217598,""y"":118.87885911528363}},{""score"":0.6835711002349854,""part"":""rightEar"",""position"":{""x"":219.89465170161307,""y"":126.54332893892283}},{""score"":0.3330182731151581,""part"":""leftShoulder"",""position"":{""x"":84.52099537566437,""y"":221.61379768303664}},{""score"":0.8978092670440674,""part"":""rightShoulder"",""position"":{""x"":261.80914523410513,""y"":222.8392665081986}},{""score"":0.0948033332824707,""part"":""leftElbow"",""position"":{""x"":75.23711587837965,""y"":301.79656307775116}},{""score"":0.08913655579090118,""part"":""rightElbow"",""position"":{""x"":315.34510348458673,""y"":295.3653901040731}},{""score"":0.0109550841152668,""part"":""leftWrist"",""position"":{""x"":83.78549371133573,""y"":295.8255988667202}},{""score"":0.013712978921830654,""part"":""rightWrist"",""position"":{""x"":295.8227034400408,""y"":288.73101727969566}},{""score"":0.0019814635161310434,""part"":""leftHip"",""position"":{""x"":113.14826065637945,""y"":304.5752658334613}},{""score"":0.004345863126218319,""part"":""rightHip"",""position"":{""x"":243.3907398721231,""y"":295.7343128781644}},{""score"":0.0011476206127554178,""part"":""leftKnee"",""position"":{""x"":108.40007157849277,""y"":290.033773399602}},{""score"":0.0029987632296979427,""part"":""rightKnee"",""position"":{""x"":250.71230815355432,""y"":286.870112161608}},{""score"":0.000795224099420011,""part"":""leftAnkle"",""position"":{""x"":115.24124296942523,""y"":292.1094545787449}},{""score"":0.0009070663363672793,""part"":""rightAnkle"",""position"":{""x"":248.5770598179509,""y"":291.2398399061548}}]}"
rawPoseData,1580312684567,2,"{""score"":0.3384202249615234,""keypoints"":[{""score"":0.9948752522468567,""part"":""nose"",""position"":{""x"":176.7099622180271,""y"":137.93908391437472}},{""score"":0.9987462162971497,""part"":""leftEye"",""position"":{""x"":152.26725872617095,""y"":110.67945933695717}},{""score"":0.9995570778846741,""part"":""rightEye"",""position"":{""x"":197.52681436383054,""y"":112.88912638429363}},{""score"":0.9307516813278198,""part"":""leftEar"",""position"":{""x"":119.62391869321422,""y"":118.80181519143304}},{""score"":0.5048487186431885,""part"":""rightEar"",""position"":{""x"":218.78528335893898,""y"":126.06329591337933}},{""score"":0.24768665432929993,""part"":""leftShoulder"",""position"":{""x"":83.98973744559362,""y"":221.08232286492864}},{""score"":0.909308671951294,""part"":""rightShoulder"",""position"":{""x"":261.91789338991975,""y"":221.4414132115395}},{""score"":0.05130031332373619,""part"":""leftElbow"",""position"":{""x"":74.47074111774344,""y"":303.31793683785}},{""score"":0.08249928802251816,""part"":""rightElbow"",""position"":{""x"":315.13653281888196,""y"":294.4461619323368}},{""score"":0.005712561774998903,""part"":""leftWrist"",""position"":{""x"":83.97147362593023,""y"":295.0955730687263}},{""score"":0.01609141007065773,""part"":""rightWrist"",""position"":{""x"":295.3063542651847,""y"":288.2284378878087}},{""score"":0.001319866394624114,""part"":""leftHip"",""position"":{""x"":113.32992201141505,""y"":304.3360711841979}},{""score"":0.004237104207277298,""part"":""rightHip"",""position"":{""x"":243.81479262173707,""y"":295.81096473150507}},{""score"":0.0007898766780272126,""part"":""leftKnee"",""position"":{""x"":107.9778828479416,""y"":289.9393577830374}},{""score"":0.003634766675531864,""part"":""rightKnee"",""position"":{""x"":250.50264987039992,""y"":286.74073084030374}},{""score"":0.0005121995345689356,""part"":""leftAnkle"",""position"":{""x"":115.07756831242708,""y"":292.6983951970448}},{""score"":0.0012721649836748838,""part"":""rightAnkle"",""position"":{""x"":248.94186544418335,""y"":290.7323407108069}}]}"
rawPoseData,1580312684660,3,"{""score"":0.3459225576439434,""keypoints"":[{""score"":0.9953258037567139,""part"":""nose"",""position"":{""x"":176.89801253692335,""y"":138.19183286219746}},{""score"":0.9983417987823486,""part"":""leftEye"",""position"":{""x"":153.02585855082165,""y"":110.7889829318672}},{""score"":0.9995532631874084,""part"":""rightEye"",""position"":{""x"":197.77302382466348,""y"":112.539173184941}},{""score"":0.9438415765762329,""part"":""leftEar"",""position"":{""x"":119.04268350374807,""y"":119.47501948325498}},{""score"":0.5159301161766052,""part"":""rightEar"",""position"":{""x"":218.969857039013,""y"":126.4537110144731}},{""score"":0.43163901567459106,""part"":""leftShoulder"",""position"":{""x"":83.87356087715762,""y"":226.03652497639638}},{""score"":0.8830568194389343,""part"":""rightShoulder"",""position"":{""x"":262.4460396469524,""y"":222.593680939264}},{""score"":0.027616558596491814,""part"":""leftElbow"",""position"":{""x"":60.87639027604013,""y"":300.77521039470366}},{""score"":0.05556023493409157,""part"":""rightElbow"",""position"":{""x"":315.7456204304002,""y"":293.06293498302426}},{""score"":0.004413787741214037,""part"":""leftWrist"",""position"":{""x"":82.91165460570983,""y"":295.0267373150109}},{""score"":0.011504510417580605,""part"":""rightWrist"",""position"":{""x"":294.49016677095204,""y"":286.8724962228837}},{""score"":0.0012074429541826248,""part"":""leftHip"",""position"":{""x"":115.89156394931612,""y"":304.3262243978347}},{""score"":0.005874964874237776,""part"":""rightHip"",""position"":{""x"":243.32401974671671,""y"":292.60503812218275}},{""score"":0.0006429140921682119,""part"":""leftKnee"",""position"":{""x"":108.37211626715052,""y"":290.1609082858711}},{""score"":0.004532760940492153,""part"":""rightKnee"",""position"":{""x"":250.12542230368368,""y"":286.6298432732194}},{""score"":0.00043016509152948856,""part"":""leftAnkle"",""position"":{""x"":115.19825150457265,""y"":292.5352679459207}},{""score"":0.0012117467122152448,""part"":""rightAnkle"",""position"":{""x"":248.3004613743338,""y"":292.14733627748063}}]}"
rawPoseData,1580312684757,4,"{""score"":0.3473136065500405,""keypoints"":[{""score"":0.9951906204223633,""part"":""nose"",""position"":{""x"":177.46099555457027,""y"":138.12659242669622}},{""score"":0.9982526302337646,""part"":""leftEye"",""position"":{""x"":153.2562063171885,""y"":110.5127788707835}},{""score"":0.9995241165161133,""part"":""rightEye"",""position"":{""x"":197.87408464598727,""y"":112.15043122832074}},{""score"":0.9529176354408264,""part"":""leftEar"",""position"":{""x"":119.26507773385205,""y"":120.15066283817461}},{""score"":0.471355676651001,""part"":""rightEar"",""position"":{""x"":218.69693591686666,""y"":125.3928589919908}},{""score"":0.405187726020813,""part"":""leftShoulder"",""position"":{""x"":84.32349040458746,""y"":225.56325328102452}},{""score"":0.9198746085166931,""part"":""rightShoulder"",""position"":{""x"":261.88703436809055,""y"":221.68570210035193}},{""score"":0.044564247131347656,""part"":""leftElbow"",""position"":{""x"":73.53580555081015,""y"":302.075044603659}},{""score"":0.08556235581636429,""part"":""rightElbow"",""position"":{""x"":313.80103662671956,""y"":297.54773365779164}},{""score"":0.005342364311218262,""part"":""leftWrist"",""position"":{""x"":81.86626629376627,""y"":296.5640265580808}},{""score"":0.01492459699511528,""part"":""rightWrist"",""position"":{""x"":295.7837765874778,""y"":286.5857045544361}},{""score"":0.001283374265767634,""part"":""leftHip"",""position"":{""x"":114.86966042118894,""y"":305.2633697781435}},{""score"":0.004663659259676933,""part"":""rightHip"",""position"":{""x"":242.96281166635566,""y"":295.02872273476254}},{""score"":0.0006876261322759092,""part"":""leftKnee"",""position"":{""x"":106.89749531222381,""y"":290.5871065745368}},{""score"":0.0033171363174915314,""part"":""rightKnee"",""position"":{""x"":250.278073125494,""y"":286.9856636885012}},{""score"":0.0006785496952943504,""part"":""leftAnkle"",""position"":{""x"":100.16241843127358,""y"":291.2358244689353}},{""score"":0.0010043876245617867,""part"":""rightAnkle"",""position"":{""x"":248.62112652441868,""y"":291.36312192696136}}]}"
rawPoseData,1580312684841,5,"{""score"":0.34066041273763403,""keypoints"":[{""score"":0.9942876100540161,""part"":""nose"",""position"":{""x"":176.97166137030288,""y"":138.2126824466694}},{""score"":0.9982666373252869,""part"":""leftEye"",""position"":{""x"":152.94288950079627,""y"":110.3309438207383}},{""score"":0.9995036125183105,""part"":""rightEye"",""position"":{""x"":197.94073700763352,""y"":112.19034696014415}},{""score"":0.9468669891357422,""part"":""leftEar"",""position"":{""x"":117.88431510727202,""y"":120.570246914374}},{""score"":0.47159990668296814,""part"":""rightEar"",""position"":{""x"":218.45087520871036,""y"":124.63375572634732}},{""score"":0.32272642850875854,""part"":""leftShoulder"",""position"":{""x"":84.63446406299357,""y"":223.94188608684595}},{""score"":0.9196680784225464,""part"":""rightShoulder"",""position"":{""x"":261.6228166121757,""y"":222.3650690299467}},{""score"":0.026827648282051086,""part"":""leftElbow"",""position"":{""x"":73.67612373227536,""y"":303.1913839730735}},{""score"":0.08334576338529587,""part"":""rightElbow"",""position"":{""x"":314.8993715490007,""y"":295.8517782737664}},{""score"":0.0035413214936852455,""part"":""leftWrist"",""position"":{""x"":83.06796855318089,""y"":296.59591885348806}},{""score"":0.013457783497869968,""part"":""rightWrist"",""position"":{""x"":294.9700642601319,""y"":286.76764328048205}},{""score"":0.0012037360575050116,""part"":""leftHip"",""position"":{""x"":113.93308596618098,""y"":304.00976338372385}},{""score"":0.004627961199730635,""part"":""rightHip"",""position"":{""x"":244.0254291114715,""y"":295.35460804336503}},{""score"":0.0008195721893571317,""part"":""leftKnee"",""position"":{""x"":106.61390816210286,""y"":290.00800468093917}},{""score"":0.0029153060168027878,""part"":""rightKnee"",""position"":{""x"":250.34033182325277,""y"":287.19232305645585}},{""score"":0.0007481384091079235,""part"":""leftAnkle"",""position"":{""x"":100.49173914289617,""y"":291.6113461535479}},{""score"":0.0008205233607441187,""part"":""rightAnkle"",""position"":{""x"":248.72202645989483,""y"":291.0227025085811}}]}"
rawPoseData,1580312684942,6,"{""score"":0.3407269393826616,""keypoints"":[{""score"":0.9943171143531799,""part"":""nose"",""position"":{""x"":176.8766023433527,""y"":137.83687057268725}},{""score"":0.9982548356056213,""part"":""leftEye"",""position"":{""x"":152.75118151616627,""y"":110.24092226566123}},{""score"":0.9994969367980957,""part"":""rightEye"",""position"":{""x"":198.31448914884461,""y"":112.19288773706475}},{""score"":0.942365825176239,""part"":""leftEar"",""position"":{""x"":117.81958682388512,""y"":121.50717910177983}},{""score"":0.5378721356391907,""part"":""rightEar"",""position"":{""x"":218.81689900531262,""y"":125.1865921812878}},{""score"":0.27683958411216736,""part"":""leftShoulder"",""position"":{""x"":85.24151233112781,""y"":221.54393368729495}},{""score"":0.9051852822303772,""part"":""rightShoulder"",""position"":{""x"":261.6494765861805,""y"":221.76544013999688}},{""score"":0.029023868963122368,""part"":""leftElbow"",""position"":{""x"":75.14199472959388,""y"":303.28871286092243}},{""score"":0.07851626724004745,""part"":""rightElbow"",""position"":{""x"":315.20927069378183,""y"":297.51181406083373}},{""score"":0.003884256584569812,""part"":""leftWrist"",""position"":{""x"":83.3566279754441,""y"":296.46739127727926}},{""score"":0.015727948397397995,""part"":""rightWrist"",""position"":{""x"":295.35664092044095,""y"":287.879283644679}},{""score"":0.0014190587680786848,""part"":""leftHip"",""position"":{""x"":114.58817570694123,""y"":305.71086557541116}},{""score"":0.003685393137857318,""part"":""rightHip"",""position"":{""x"":243.08973324970958,""y"":295.7452470456811}},{""score"":0.000848528346978128,""part"":""leftKnee"",""position"":{""x"":106.90360023855104,""y"":290.3408281286675}},{""score"":0.003222491592168808,""part"":""rightKnee"",""position"":{""x"":250.11625545031947,""y"":286.70275962671116}},{""score"":0.0007661944255232811,""part"":""leftAnkle"",""position"":{""x"":100.28698994073389,""y"":291.28179856931416}},{""score"":0.0009322481346316636,""part"":""rightAnkle"",""position"":{""x"":248.83351234441696,""y"":291.6173272670553}}]}"
rawPoseData,1580312685042,7,"{""score"":0.32828470639309243,""keypoints"":[{""score"":0.993415117263794,""part"":""nose"",""position"":{""x"":176.46273793877057,""y"":137.740262062684}},{""score"":0.9983506202697754,""part"":""leftEye"",""position"":{""x"":152.4234233143068,""y"":110.15952078595711}},{""score"":0.9994608759880066,""part"":""rightEye"",""position"":{""x"":197.69244306802042,""y"":111.86915790362599}},{""score"":0.8704904317855835,""part"":""leftEar"",""position"":{""x"":120.16775993494323,""y"":120.61649322509766}},{""score"":0.5067136287689209,""part"":""rightEar"",""position"":{""x"":218.46518846789172,""y"":124.1448162995743}},{""score"":0.16537730395793915,""part"":""leftShoulder"",""position"":{""x"":85.92404202679148,""y"":221.6830328083887}},{""score"":0.8979288935661316,""part"":""rightShoulder"",""position"":{""x"":261.53785917808466,""y"":221.67731115867548}},{""score"":0.0293278805911541,""part"":""leftElbow"",""position"":{""x"":75.05360457875963,""y"":303.55125554025346}},{""score"":0.09164067357778549,""part"":""rightElbow"",""position"":{""x"":314.77709053956437,""y"":297.01932677317086}},{""score"":0.003982994239777327,""part"":""leftWrist"",""position"":{""x"":83.4569879848101,""y"":296.54149138679844}},{""score"":0.01365441270172596,""part"":""rightWrist"",""position"":{""x"":295.581471248621,""y"":288.8353693647979}},{""score"":0.0013061483623459935,""part"":""leftHip"",""position"":{""x"":113.82693210982606,""y"":305.5052609769102}},{""score"":0.003605510341003537,""part"":""rightHip"",""position"":{""x"":243.75531515010385,""y"":295.8334814065995}},{""score"":0.000748545688111335,""part"":""leftKnee"",""position"":{""x"":106.63629774523773,""y"":289.92582745651106}},{""score"":0.0032679394353181124,""part"":""rightKnee"",""position"":{""x"":250.38404424112701,""y"":287.524375870249}},{""score"":0.0007139805820770562,""part"":""leftAnkle"",""position"":{""x"":100.63863253239708,""y"":291.0027026535849}},{""score"":0.0008550515631213784,""part"":""rightAnkle"",""position"":{""x"":249.27057343066977,""y"":291.3963831228035}}]}"
rawPoseData,1580312685134,8,"{""score"":0.33373842159669626,""keypoints"":[{""score"":0.9931043982505798,""part"":""nose"",""position"":{""x"":176.4672883632275,""y"":137.93043694651797}},{""score"":0.9982196688652039,""part"":""leftEye"",""position"":{""x"":152.50551440807763,""y"":110.2099662180824}},{""score"":0.9994598031044006,""part"":""rightEye"",""position"":{""x"":197.7314531541366,""y"":111.92634410108232}},{""score"":0.931785523891449,""part"":""leftEar"",""position"":{""x"":120.4357826532879,""y"":120.21689184624645}},{""score"":0.4961417615413666,""part"":""rightEar"",""position"":{""x"":218.25336514170164,""y"":124.40985499079218}},{""score"":0.20189768075942993,""part"":""leftShoulder"",""position"":{""x"":87.0779721093107,""y"":221.906479413856}},{""score"":0.920598030090332,""part"":""rightShoulder"",""position"":{""x"":262.1823130418002,""y"":221.0634835240395}},{""score"":0.0256677083671093,""part"":""leftElbow"",""position"":{""x"":74.33063162681964,""y"":303.3590120038222}},{""score"":0.08046498149633408,""part"":""rightElbow"",""position"":{""x"":315.9616578495467,""y"":297.0979754846952}},{""score"":0.003552603768184781,""part"":""leftWrist"",""position"":{""x"":82.54662221051115,""y"":296.4940330890237}},{""score"":0.013308639638125896,""part"":""rightWrist"",""position"":{""x"":296.0251485530276,""y"":288.01073045475897}},{""score"":0.0013927437830716372,""part"":""leftHip"",""position"":{""x"":114.49649746676229,""y"":305.4747997023585}},{""score"":0.0030513557139784098,""part"":""rightHip"",""position"":{""x"":243.50058292528996,""y"":296.5233451662148}},{""score"":0.0007548804860562086,""part"":""leftKnee"",""position"":{""x"":106.619155030576,""y"":290.5170718541131}},{""score"":0.0027690832503139973,""part"":""rightKnee"",""position"":{""x"":250.12559993330734,""y"":286.8698868001604}},{""score"":0.0006461120792664587,""part"":""leftAnkle"",""position"":{""x"":100.53093680783621,""y"":290.92966120745376}},{""score"":0.0007381920586340129,""part"":""rightAnkle"",""position"":{""x"":249.09913803349616,""y"":291.18009855768446}}]}"
rawPoseData,1580312685226,9,"{""score"":0.334843494973885,""keypoints"":[{""score"":0.9910780191421509,""part"":""nose"",""position"":{""x"":175.5894531977283,""y"":137.7339728720464}},{""score"":0.9983298182487488,""part"":""leftEye"",""position"":{""x"":152.34105267227582,""y"":109.9775221906713}},{""score"":0.9994631409645081,""part"":""rightEye"",""position"":{""x"":197.4783471988995,""y"":111.60697921588795}},{""score"":0.9451088905334473,""part"":""leftEar"",""position"":{""x"":120.76855379608335,""y"":118.51741780583865}},{""score"":0.5203142762184143,""part"":""rightEar"",""position"":{""x"":218.04519341465982,""y"":124.46376261725268}},{""score"":0.16125167906284332,""part"":""leftShoulder"",""position"":{""x"":87.08788879264358,""y"":220.87173451726443}},{""score"":0.9163102507591248,""part"":""rightShoulder"",""position"":{""x"":261.4114781274994,""y"":221.6375034683182}},{""score"":0.019466759636998177,""part"":""leftElbow"",""position"":{""x"":75.26481687845745,""y"":304.00677965656587}},{""score"":0.1092890053987503,""part"":""rightElbow"",""position"":{""x"":314.5373429629499,""y"":297.47991884497577}},{""score"":0.0033453297801315784,""part"":""leftWrist"",""position"":{""x"":82.81369599355082,""y"":296.972297294911}},{""score"":0.016713079065084457,""part"":""rightWrist"",""position"":{""x"":296.8948615311869,""y"":289.46402096394615}},{""score"":0.0015425857855007052,""part"":""leftHip"",""position"":{""x"":115.04856615108977,""y"":304.7174012498261}},{""score"":0.004140895791351795,""part"":""rightHip"",""position"":{""x"":243.91398733102602,""y"":296.0802057079462}},{""score"":0.0008754925220273435,""part"":""leftKnee"",""position"":{""x"":106.8980971175061,""y"":290.72571262619965}},{""score"":0.003381117945536971,""part"":""rightKnee"",""position"":{""x"":250.64037252392188,""y"":288.32536886424623}},{""score"":0.0007296568946912885,""part"":""leftAnkle"",""position"":{""x"":100.25861821896245,""y"":291.3458893207131}},{""score"":0.0009994168067350984,""part"":""rightAnkle"",""position"":{""x"":248.98280518981753,""y"":290.56764663786845}}]}"
